Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
mRNA processing	GOTERM_BP_DIRECT	27	3.3457249070631967	2.5192382924069764e-06	RBM25, RBM26, ADAR, ZFP36L1, PNN, LGALS3, SNRPD2, PABPN1, PAPOLA, RBBP6, PRKACB, RBM5, SRSF11, RBM39, PRPF38B, MBNL1, ZRANB2, THOC2, PTBP3, SRRM1, JMJD6, SON, HNRNPA2B1, ACIN1, SRSF4, SREK1, SRSF5	764	238	19453	2.8885509701262704	0.009247934892350209	0.00929095082239693	0.009222931388501941
actin cytoskeleton organization	GOTERM_BP_DIRECT	25	3.0978934324659235	1.5156686938482309e-05	PDGFA, ARHGEF10L, CDC42, PAK1, SIPA1L1, DNAJB6, POF1B, CFL1, MICALL2, PLEK2, FLNB, SPTAN1, PDLIM7, SPTBN1, VASP, CAP1, AUTS2, TMOD3, ARPC5, MKLN1, INF2, CAPZA1, SPIRE2, TRIP10, ARHGEF5	764	232	19453	2.743754513450081	0.05436468374918702	0.024083230543662282	0.023906916220267787
negative regulation of inclusion body assembly	GOTERM_BP_DIRECT	6	0.7434944237918215	1.9590480377165628e-05	DNAJB1, DNAJB6, DNAJA4, HSPA2, HSPA1B, HSPA1A	764	10	19453	15.277225130890052	0.06970207934432204	0.024083230543662282	0.023906916220267787
RNA splicing	GOTERM_BP_DIRECT	23	2.850061957868649	3.039105841088629e-05	IVNS1ABP, RBM39, PRPF38B, RBM25, MBNL1, ZRANB2, FUS, THOC2, RNPC3, PTBP3, SRRM1, JMJD6, PNN, LGALS3, SON, SNRPD2, PPP2R1A, LUC7L3, ACIN1, SRSF4, SREK1, RBM5, SRSF11	764	211	19453	2.7754832386293145	0.10603077344799994	0.02563510909656376	0.025447433406323192
regulation of ventricular cardiac muscle cell action potential	GOTERM_BP_DIRECT	6	0.7434944237918215	3.475475745195737e-05	DSP, DLG1, PKP2, DSG2, DSC2, TRPM4	764	11	19453	13.888386482627318	0.12030302103057874	0.02563510909656376	0.025447433406323192
protein refolding	GOTERM_BP_DIRECT	8	0.9913258983890956	4.755047605554032e-05	DNAJA1, HSP90AA1, DNAJA4, HSPA6, HSPB1, HSPA2, HSPA1B, HSPA1A	764	26	19453	7.834474426097463	0.16085379376267414	0.029105530402493283	0.02889244761483945
positive regulation of cell migration	GOTERM_BP_DIRECT	26	3.22180916976456	5.524368568802954e-05	ONECUT2, PDGFA, PIK3R3, IRS2, SYNE2, CDC42, PAK1, WNT11, MDK, ZNF703, STX4, CARMIL1, PCID2, STAT3, RHOC, PTK2, SH3RF2, CLDN4, MMP14, NUMB, SNAI1, SPRY2, LGR6, EPHA1, SMIM22, HBEGF	764	267	19453	2.4794497715551893	0.18432912159149595	0.029105530402493283	0.02889244761483945
response to unfolded protein	GOTERM_BP_DIRECT	11	1.3630731102850062	6.594945934988474e-05	DNAJA1, EDEM3, DNAJC3, DNAJB1, HSP90AA1, HSPH1, HSPA6, SERPINH1, HSPB1, HSPA2, HSPA1A	764	57	19453	4.9137273812804265	0.21590855515592555	0.03040270076029686	0.030180121334991008
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	76	9.417596034696404	0.00010057433525101588	ZNF296, ONECUT2, IHH, HNF4G, ARID4A, HNRNPU, ARID4B, NUCKS1, HOXA13, HOXA10, NIPBL, HNF4A, CREB3L1, ZC3H12A, NAMPT, POGZ, NFATC2IP, CHP2, IER5, CDK5RAP3, SREBF1, TSTD1, PARP1, ANXA2, LMO4, TCF12, IL18, ABHD14B, CASK, LMO7, FOS, ASH1L, JMJD6, RUNX1, ELF1, ZNF91, NR5A2, TFDP1, SLTM, IRF3, ELF3, IRF1, HOXB3, PPARG, PHIP, SQSTM1, CEBPA, CASZ1, KMT2C, NR1I2, SLC9A1, PLAC8, PLAGL2, ZBTB7B, S100A10, MAPK3, TFAP2A, TCF7L2, JUN, AUTS2, CDX1, VDR, STAT3, ARID3A, PBX1, ASXL1, MLXIPL, KLF5, MAFB, NFIA, REL, FOSB, CTNNB1, TAF7, OGT, FOXA3	764	1232	19453	1.5707103760114232	0.3099124477210625	0.04102691266959553	0.04072655295102745
positive regulation of protein export from nucleus	GOTERM_BP_DIRECT	7	0.8674101610904585	0.00011682751457210363	TCF7L2, BAG3, TPR, SFN, ANP32B, GAS6, PRKACB	764	21	19453	8.487347294938917	0.3500663796503798	0.04102691266959553	0.04072655295102745
