Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
apoptotic process	GOTERM_BP_DIRECT	107	5.895316804407713	8.422482429274463e-12	PDCD5, UXT, SLK, RASSF3, ZC3H12A, RASSF6, TNFSF10, PIM1, EP300, PIM3, PHLDA2, TNS4, IER3, DAPK1, MAP1S, IGFBP3, DAPK3, IFI27, RRAGC, DDIT4, FKBP8, FAIM, PSMD10, TNFRSF11B, FOXO3, FOXO1, RTN4, BCL2L13, BCL2L11, NUAK2, ZMAT3, BMF, SUDS3, MAP2K7, PLK3, GADD45B, UBE2B, GADD45A, TNFSF15, SIAH2, TNFRSF10B, GADD45G, GULP1, NFKBIA, NR4A1, LCN2, MDM2, MAP3K10, BCL2L1, CSRNP1, PLEKHF1, SYCP2, SLC40A1, TRIAP1, TNFAIP1, SHB, KRT20, YBX3, BBC3, TCHP, ING4, MYDGF, AIFM1, RFK, IFT57, CTSC, CTNNBL1, KLF11, APAF1, TNFRSF12A, RIPK2, EMP1, EMP3, RHOB, RNF144B, TOX3, PLSCR1, TRAF4, CEACAM6, FAM32A, CD47, TNFRSF21, BIRC3, MCM2, RALB, RNF34, IFI6, DRAM1, MIEN1, MAPK1, RFFL, BID, MEF2D, PAK4, CDKN2A, BIK, TAF10, HIP1R, WNT7A, CFLAR, PML, PDCL3, MARCKS, TCIM, STK17B, BAX, FAS	1696	619	19453	1.982685669216936	4.801658548547749e-08	3.06505320666583e-08	3.0188166559250365e-08
cell migration	GOTERM_BP_DIRECT	62	3.415977961432507	1.0752686218789087e-11	ITGB1, BTG1, PRAG1, ITGB5, WWC1, PTPRK, TNFAIP1, RND3, RND1, CRKL, ADGRE2, NCK2, SIRPA, ITGB8, ITGAV, CCN2, ITGB6, NCK1, VAV3, PRPF40A, RHOF, RHOD, RHOB, VAV2, ITGB1BP1, RHOU, CD47, LCP1, MAPRE1, MET, PHLDB2, RHOQ, CD44, EPHA2, CD63, LAMA5, FOXC1, SDC4, CUL3, PXN, LAMA3, SDC3, NTN4, NEDD9, CORO1C, ADGRG1, GPC1, HES1, IGFBP6, PAK4, JUP, LAMB3, USP9X, NFATC2, LAMB1, EFNA1, ABI2, BAMBI, PTK7, SDC1, CD24, BCAR1	1696	278	19453	2.558041774127868	6.130132346182648e-08	3.06505320666583e-08	3.0188166559250365e-08
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	173	9.53168044077135	1.9651373689612915e-10	SMARCB1, ZNF292, TNF, ETS2, RPS6KA3, IL4I1, ZC3H12A, CREB3L2, EP300, SOX9, CCN1, JUNB, PITX1, SOX4, IER2, GTF2I, ACVR1, ARID5A, MRTFA, MITF, ACTN4, EBF4, HCFC1, ARMCX3, PRPF6, IL23A, DDIT3, MORF4L2, ATF3, ATF4, NOTCH3, FOXO3, FOXO1, NPAS2, HELZ2, SBNO2, PPP3R1, DDRGK1, PCBP1, DHX36, MYO6, HLTF, PCBP2, DVL3, ZBED1, BCL9L, BPTF, STAT5A, WWTR1, AKIRIN2, EGR1, EGR2, XRCC6, JUND, EGR3, JAG1, SMAD3, JUP, FZD5, LIF, IGF2, NFATC2, MICAL2, NR1D2, NR1D1, NR2F2, SUPT5H, SMARCA1, FOSL2, NFKB2, SMARCA4, FOSL1, NFKBIA, NR4A1, BMP2, SP1, MAFG, MAFF, ID4, HNRNPD, PAF1, PIN1, TCF3, NFE2L2, CSRNP1, GMEB2, BMPR2, ONECUT2, CITED2, AKAP8L, SLC40A1, PSIP1, TCF20, TRIAP1, LITAF, CX3CL1, PTMS, IRF2BPL, MECP2, PTBP1, MYDGF, HHEX, MED13, NFKBIZ, NCK2, TEAD1, NELFE, NCK1, KDM6B, ACTR3, KLF10, EDN1, KLF13, NCOA6, RIPK2, NCOA3, TFE3, PPP2R5B, VEZF1, SREBF2, POU5F1, ETV6, TOX3, PLSCR1, TFDP2, PAX8, ZNF639, IRF7, ITGB1BP1, IRF5, NCOA7, MET, RHOQ, HDAC5, CEBPB, FOXC1, HDAC2, NFIX, UHRF1, SRF, DOT1L, FSTL3, RELB, IFI16, SERTAD1, EPCAM, STAT6, HES1, TBL1X, MEF2D, BRD4, MLXIP, CDKN2A, STAT1, MACC1, MCRS1, AP3D1, WNT7A, FOXJ1, KLF4, USF2, KLF2, VEGFA, PER1, KLF7, KLF6, MEIS1, FOSB, F2RL1, HDGF, LPIN1, TAF3, SSBP4	1696	1232	19453	1.6106312982418522	1.1203239431711864e-06	3.734416046816107e-07	3.678082108905884e-07
negative regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	147	8.099173553719009	7.283509583000244e-10	RIF1, ZMYND8, WWC1, ZBTB20, TNF, ETS2, FOXQ1, UXT, ZFP36, ZNF608, TRIM29, EP300, SOX9, SOX4, PIAS4, HES6, ZGPAT, KDM2B, ARID5A, MITF, FOXP4, TLE5, HCFC1, HIC2, EID2, IFI27, BIN1, THAP7, DDIT3, TIMELESS, TRIB3, EZR, AJUBA, ATF3, ATF4, PSMD10, NOTCH3, DDX5, TSG101, MAGED1, CUL3, FOXO3, FOXO1, NACC2, NACC1, SUDS3, PATZ1, SKIL, BPTF, WWTR1, AKIRIN2, EGR1, PLK3, CBX6, JUND, SMAD3, GADD45A, IGF2, ZBTB10, RITA1, IRF2BP2, NFATC2, NR1D2, NR1D1, NR2F2, SUPT5H, SMARCA4, EFNA1, BMP2, MAFG, ID2, TRPV4, ID1, BHLHE40, MAFF, ID4, MDM2, PAF1, MAFK, TCF3, CDKN1C, KDM5C, BTG2, CITED2, NKAP, FHL2, CHD3, YBX3, IRF2BPL, MECP2, HHEX, LRRFIP1, LMCD1, NELFE, TGIF1, KLF10, KLF11, EDN1, DNMT3A, SIRT6, CBFA2T2, SREBF2, POU5F1, ETV6, NCOR2, AEBP2, IRF7, CRY1, SINHCAF, MDFI, HDAC5, CEBPB, FOXC1, HDAC2, NFIX, UHRF1, HDAC9, HDAC6, HDAC7, MNT, IFI16, TDG, STAT6, RALY, HES1, TBL1X, CRYM, FNIP2, SUZ12, USP9X, STAT1, FOXJ1, KLF4, KLF3, KLF2, GATAD2A, VEGFA, PER2, MAD2L2, PER1, KLF7, PER3, FOSB, ZNF217, HDGF, TAF3, FRK	1696	1016	19453	1.6595271644257912	4.152320061678871e-06	1.03808220331711e-06	1.0224226577136592e-06
angiogenesis	GOTERM_BP_DIRECT	53	2.9201101928374653	5.334733371625504e-09	COL18A1, PANK2, CXCL8, SERPINE1, ITGA2B, TNFAIP2, SHB, SAT1, ACTG1, MYDGF, ZC3H12A, ITGAV, CCN3, CCN2, EPHB2, VAV3, TNFRSF12A, VEZF1, PRKCA, HSPG2, RHOB, VAV2, COL4A2, PXDN, NINJ1, MYH9, CD47, MFGE8, RAPGEF3, RAMP2, FOXC1, TGFA, PRKX, RASIP1, TYMP, ADGRG1, RNF213, FLNA, HMOX1, WASF2, JAG1, FZD5, WNT7A, VEGFA, EFNA1, PDCL3, MEIS1, ID1, NF1, AMOTL2, TGFBI, PLCD3, RAMP1	1696	255	19453	2.3839460784313724	3.041285226834667e-05	6.082662990327401e-06	5.990905576335442e-06
positive regulation of apoptotic process	GOTERM_BP_DIRECT	63	3.471074380165289	1.1103701927866409e-08	ITGB1, PDCD5, TNF, TOMM22, BBC3, ING4, LGALS2, RASSF2, AIFM1, RPS6KA2, RASSF6, TNFSF10, CCN1, PHLDA2, CTSD, SOX4, CTNNBL1, TGM2, PHLDA3, VAV3, KLF11, TNFRSF12A, APAF1, RIPK2, DAPK1, IGFBP3, DAPK3, ANO6, RHOB, DNM2, LATS2, BIN1, IRF5, ATF4, HPGD, SRC, FOXO3, FOXO1, BCL2L11, SCIN, UBD, HMOX1, BMF, SUDS3, ECT2, BID, GADD45B, CDKN2A, GADD45A, HIP1R, TNFRSF10B, CFLAR, IGF2R, GADD45G, FOSL1, NR4A1, BMP2, STK17B, NF1, BAX, MAP3K10, FAS, BCL2L1	1696	336	19453	2.150611733490566	6.330020167111261e-05	1.0550367448461065e-05	1.039121438749498e-05
circadian regulation of gene expression	GOTERM_BP_DIRECT	24	1.3223140495867771	1.5826037885479575e-08	EGR1, HDAC2, MAGED1, CAVIN3, GFPT1, HUWE1, CSNK1D, SIRT6, NR1D1, CSNK1E, PML, NPAS2, RELB, PER2, PPP1CB, PER1, PPP1CC, PER3, ID2, ID1, BHLHE40, ID4, CRY1, ATF4	1696	71	19453	3.8771591815041186	9.022017283755179e-05	1.288917742644558e-05	1.2694743246709688e-05
positive regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	107	5.895316804407713	8.625913928127452e-08	WWC1, YEATS4, TNF, UBE2L3, PSMD9, CDH1, CREB3L2, PIM1, TRIM25, EP300, SOX9, SOX4, ACVR1, MAP2K3, MAP2K2, ACTN1, DYRK1B, MITF, HCFC1, DDIT3, MORF4L2, NUPR1, ATF4, MAGED1, KMT2B, PDGFB, FOXO3, FOXO1, NPAS2, BLOC1S2, EP400, DVL3, PATZ1, MAP2K7, EGR1, EGR2, XRCC6, NIBAN2, SMAD3, RBPMS, INSR, NFATC2, NR1D2, NR1D1, NR2F2, SMARCA1, SMARCA4, BMP2, SP1, BAMBI, ID2, HNRNPD, TCF3, PICALM, NFKBIB, CDKN1C, PHF20, CITED2, CCDC124, CHD3, PQBP1, ING4, HHEX, LBH, MED13, CEP290, TEAD1, YAF2, YWHAH, NCOA6, TFE3, DNM2, PAX8, IRF7, PLCB1, CREB5, SMARCD1, CEBPB, FOXC1, HDAC2, NFIX, MYRF, SRC, MLLT1, CAMKK2, SERTAD3, TP53INP2, SCAND1, TBL1X, BRD4, MAP3K2, CDKN2A, STAT1, USP22, MCRS1, TAF10, WNT7A, KLF4, KLF2, PML, GATAD2A, PER2, MAD2L2, KLF6, PSMC5, PHF5A, PKN1	1696	728	19453	1.6858275126995648	0.0004916424784312534	5.957155499950931e-05	5.8672913755875256e-05
regulation of circadian rhythm	GOTERM_BP_DIRECT	22	1.2121212121212122	9.404385107798347e-08	KLF10, GSK3B, USP9X, MAGED1, NONO, SIAH2, CSNK1D, NR1D2, SIRT6, NR1D1, CSNK1E, PML, PER2, PPP1CB, PER1, PPP1CC, ID2, SRRD, BHLHE40, HNRNPD, TIMELESS, CRY1	1696	66	19453	3.823309748427673	0.0005360003204665231	5.957155499950931e-05	5.8672913755875256e-05
protein phosphorylation	GOTERM_BP_DIRECT	73	4.022038567493113	1.8443970494692734e-07	GSK3B, BMPR2, DYRK2, TP53RK, PRAG1, STK11, PPP4R1, SLK, RSRC1, PIM1, PIM3, MAP3K8, EPHB2, IKBKE, JAK1, ACVR1, EDN1, DAPK1, IGFBP3, DAPK3, RIPK4, DYRK1B, CSNK1D, PRKCA, TYK2, VRK2, CSNK1E, PRKAB1, CDC25B, ERN1, BCR, LATS2, PICK1, TRIB3, ULK1, TNIK, CSNK1G2, SRC, PIK3R4, PDGFB, STK39, KALRN, CAMKK2, NUAK2, ATG101, MKNK2, MAPK1, FNIP2, ST3GAL1, CLASP1, MAP4K3, PAK4, MAP4K4, MAP3K2, PLK3, MAP3K1, INSR, TAF10, EIF2AK2, BMP2, WEE1, CDK4, PRKRA, STK17B, TAOK1, WNK2, AAK1, PKN1, COPS8, MAP3K13, TAF3, FRK, CDK16	1696	444	19453	1.8858217002379736	0.0010509382321076677	0.0001051490757902433	0.00010356289432769971
