Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell adhesion	GOTERM_BP_DIRECT	37	12.37458193979933	1.7289698705575113e-13	ITGB1, SPON2, COL15A1, NRP2, LAMA4, NTM, COL12A1, TNC, NEXN, THBS2, NID2, THBS1, LOXL2, ICAM1, ISLR, SPOCK1, ITGAV, CCN2, CCN1, IL32, ENTPD1, TNFRSF12A, ITGA1, FN1, LAMB1, PPFIBP1, VCAN, FAP, PTK7, COL7A1, PXDN, ADAM12, ITGA8, FAT1, MXRA8, COL8A1, VCL	289	566	19453	4.400216415811804	3.892846045516762e-10	3.8936401484955165e-10	3.7708832876859317e-10
response to unfolded protein	GOTERM_BP_DIRECT	14	4.6822742474916375	1.7138657562265954e-12	HSPA8, HSP90AA1, HSPA6, HSPB1, HSPA2, HSPE1, THBS1, HSPD1, DNAJA1, DNAJB1, HSPH1, DNAJB4, SERPINH1, HSPA1A	289	57	19453	16.532629150731502	3.8595930895723995e-09	1.9298128415111463e-09	1.8689706071651028e-09
protein refolding	GOTERM_BP_DIRECT	10	3.3444816053511706	7.559929415277715e-11	DNAJA1, HSPA8, HSP90AA1, HSPA6, HSPB1, HSPA2, B2M, HSPA1B, HSPD1, HSPA1A	289	26	19453	25.889007186585044	1.7024961951328518e-07	5.674987014401804e-08	5.496068684906899e-08
angiogenesis	GOTERM_BP_DIRECT	22	7.357859531772577	2.3850326799737975e-10	COL15A1, NRP2, TNFRSF12A, SERPINE1, PTEN, FN1, HSPG2, SAT1, WARS1, TYMP, MMP14, RNF213, COL4A2, FAP, CALD1, ID1, PXDN, COL8A1, MYH9, ITGAV, CCN2, RAMP1	289	255	19453	5.807259651265349	5.37109100862132e-07	1.342773398825248e-07	1.3004390687557129e-07
collagen fibril organization	GOTERM_BP_DIRECT	13	4.3478260869565215	1.177299019334869e-09	COL15A1, LUM, COL12A1, LOXL2, MMP11, ADAMTS2, BMP1, SFRP2, COL4A2, COL4A1, COL5A2, PXDN, SERPINH1	289	76	19453	11.513795301402295	2.6512739160766685e-06	5.30255478308425e-07	5.1353783223387e-07
endodermal cell differentiation	GOTERM_BP_DIRECT	9	3.0100334448160537	1.229633431589227e-08	MMP14, COL4A2, COL7A1, COL12A1, FN1, COL8A1, ITGAV, LAMB1, INHBA	289	31	19453	19.54202477955129	2.7690961576287695e-05	4.615224146564898e-06	4.46971752382684e-06
extracellular matrix organization	GOTERM_BP_DIRECT	17	5.685618729096991	2.5136826506925164e-08	ITGB1, COL15A1, ITGA1, MMP11, SMOC2, MMP14, ADAMTS2, COL4A2, COL4A1, COL7A1, COL5A2, PXDN, ITGA8, COL8A1, COL10A1, ITGAV, CCN1	289	190	19453	6.022600619195046	5.6606531799952016e-05	7.665437598020252e-06	7.423765275880182e-06
chaperone mediated protein folding requiring cofactor	GOTERM_BP_DIRECT	9	3.0100334448160537	2.7230684184796638e-08	HSPA8, DNAJB1, HSPH1, DNAJB4, HSPA6, HSPA2, HSPE1, HSPA1B, HSPA1A	289	34	19453	17.817728475473235	6.132162129779406e-05	7.665437598020252e-06	7.423765275880182e-06
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	42	14.046822742474914	9.494004038937487e-07	CSRNP3, CITED2, AHR, IFI16, SERTAD1, CCN1, TEAD1, SF3B1, WNT2, SOX4, IER2, DDX17, WWTR1, EGR1, EGR2, LUM, LMO4, STAT1, STAT2, WNT5A, STAT3, ETV1, LMO7, ACTN4, INHBA, DEK, RUNX1, ASXL1, NR4A1, KLF6, MAFB, SFRP2, ZEB1, RGCC, IRF1, ITGA8, FOSB, NCOA7, TCF4, PTMA, ATF3, ATF4	289	1232	19453	2.2947074551745827	0.0021357667220122107	0.00023244118148519922	0.0002251128849108434
regulation of cell migration	GOTERM_BP_DIRECT	12	4.013377926421405	1.0321544470923586e-06	MACF1, LMO4, LAMA4, DPYSL3, STMN1, TNC, NEXN, PHLDA2, SGK1, TMSB10, VCL, RTN4	289	114	19453	7.085412493170643	0.0023217136584686715	0.00023244118148519922	0.0002251128849108434
cellular response to unfolded protein	GOTERM_BP_DIRECT	7	2.3411371237458187	2.2777050898593246e-06	HSPA8, BAG3, HSPA6, HSPA2, OPTN, HSPA1B, HSPA1A	289	27	19453	17.45110854799436	0.005116264807825678	0.00046630835112392726	0.0004516068000893808
positive regulation of gene expression	GOTERM_BP_DIRECT	24	8.02675585284281	3.202570122891464e-06	IL32, EGR1, KDM5B, TLE1, CITED2, WNT5A, STAT3, TNC, FN1, NRG1, INHBA, PRDM1, WARS1, CNN2, RGCC, ID1, ID3, CCN2, SLC38A2, HSPA1B, ATF3, HSPA1A, LIMS1, ATF4	289	519	19453	3.1126667600055997	0.007186253967112366	0.0006010156597292981	0.0005820671198355236
actin filament organization	GOTERM_BP_DIRECT	13	4.3478260869565215	3.4870905543483506e-06	MARCKSL1, TPM4, TPM3, TPM2, ACTN1, TPM1, CNN3, CNN2, MYO1E, MYO1B, MARCKS, FAT1, TMSB10	289	155	19453	5.645473825203706	0.00782218782945765	0.0006040713791071143	0.0005850264999256732
negative regulation of apoptotic process	GOTERM_BP_DIRECT	24	8.02675585284281	6.146192670090952e-06	CDKN1A, ANXA1, TSC22D1, CITED2, SPHK1, WNT5A, PTEN, FHL2, IFI6, HSPB1, THBS1, HSPD1, IGF1R, DNAJA1, UFM1, BAG3, ID1, CFL1, CCN1, PTMA, HSPA1B, IER3, HSPA1A, MCL1	289	540	19453	2.9916186082276046	0.013745918501164578	0.0009886589923603446	0.0009574890152477404
positive regulation of angiogenesis	GOTERM_BP_DIRECT	13	4.3478260869565215	7.07820901700686e-06	ITGB1, SPHK1, WNT5A, STAT3, SERPINE1, HSPB1, ADM, THBS1, RTN4, RUNX1, SMOC2, SFRP2, ADAM12	289	166	19453	5.271376162087798	0.015813810758601218	0.0010626751137532966	0.0010291715910727976
cellular response to heat	GOTERM_BP_DIRECT	8	2.6755852842809364	1.096567957028146e-05	DNAJB1, CDKN1A, HSP90AA1, BAG3, HSPA6, THBS1, HSPA1B, HSPA1A	289	52	19453	10.355602874634016	0.024392422631704717	0.0015434193995171154	0.0014947591964239915
positive regulation of apoptotic process	GOTERM_BP_DIRECT	18	6.020066889632108	1.1886935073334758e-05	ITGB1, CSRNP3, TNFRSF12A, GADD45B, IGFBP3, ADM, HSPD1, NET1, DNAJA1, NR4A1, SFRP2, ID3, CCN1, PHLDA2, PHLDA1, SOX4, MCL1, ATF4	289	336	19453	3.605968858131488	0.026414408765045302	0.0015746692814794046	0.001525023846761359
wound healing	GOTERM_BP_DIRECT	10	3.3444816053511706	1.5004795011299838e-05	CNN2, MACF1, CDKN1A, PTK7, TPM1, WNT5A, FN1, SDC1, NRG1, PLEC	289	98	19453	6.868512110726645	0.0332265109622657	0.00187726657585818	0.0018180809955358306
